Equation 1,Equation 2,Value of X,Value of Y
11x + 14y = 7,14x + 12y = 38,7,-5
14x + 15y = 158,3x + 11y = 65,7,4
14x + 20y = 242,20x + 2y = 80,3,10
7x + y = 15,x + 8y = 10,2,1
2x - 18y = -34,10x + 14y = 142,10,3
5x + 5y = 30,9x + 17y = 30,9,-3
8x + 4y = -28,19x + 13y = -98,1,-9
10x + 8y = 12,14x + 19y = 9,2,-1
16x - 9y = 222,17x + 2y = 259,15,2
x + 13y = 110,10x + 7y = 116,6,8
11x + 19y = 237,15x + 7y = 153,6,9
12x + 14y = 154,19x + 12y = 254,14,-1
7x + 4y = 59,4x + 6y = 30,9,-1
19x + 14y = 108,16x + 11y = 87,2,5
13x + 4y = 149,9x + 19y = 233,9,8
9x + 16y = 223,18x + 20y = 326,7,10
17x + 16y = 250,12x + 15y = 195,10,5
11x + 11y = 55,17x + 7y = 45,1,4
6x + 12y = 138,8x + 13y = 163,9,7
13x + 2y = 95,16x + 3y = 118,7,2
5x + 5y = 55,11x + 18y = 142,8,3
16x + 13y = -56,14x + 19y = -110,3,-8
9x + 2y = 102,18x + 13y = 258,10,6
14x - 16y = -64,5x + 13y = 183,8,11
4x + 14y = 156,19x + 18y = 256,4,10
10x + 20y = -120,18x + 18y = -72,4,-8
20x + 13y = 239,9x + 5y = 105,10,3
15x - 18y = -27,14x + 2y = 238,15,14
10x + 19y = 271,9x + 15y = 225,10,9
17x - 9y = 125,11x + 9y = 155,10,5
x + 13y = 21,8x + 20y = 84,8,1
10x + 11y = 129,2x + 20y = 186,3,9
6x - 16y = -186,17x + 5y = 228,9,15
17x + 10y = 145,x + 8y = 53,5,6
10x - 15y = -5,18x + 2y = 136,7,5
x + 2y = 6,20x + 15y = 95,4,1
20x - 9y = -30,7x + 14y = 161,3,10
18x - 17y = -31,12x + 17y = 121,3,5
11x + 6y = 130,5x + 6y = 82,8,7
5x + 9y = 68,18x + 17y = 137,1,7
7x + 2y = 94,16x + 8y = 208,14,-2
7x + 8y = 83,11x + 11y = 121,5,6
4x + 8y = 64,9x + 18y = 144,2,7
19x + 9y = 55,x + 14y = 57,1,4
5x - 13y = 57,8x + 12y = 124,14,1
14x + 12y = 108,10x + 16y = 40,12,-5
10x + 17y = -113,8x + 4y = -4,4,-9
11x - 14y = 1,17x + 15y = 258,9,7
15x + 15y = 75,9x + 9y = 45,3,2
3x + 18y = -120,5x + 18y = -92,14,-9
4x + 8y = 20,7x + 12y = 41,11,-3
17x - 15y = 140,3x + 13y = 56,10,2
15x + y = 65,9x + 17y = 121,4,5
18x - 6y = 6,6x + 8y = 112,4,11
13x + 9y = 181,17x + 14y = 259,7,10
4x + 13y = 110,3x + 4y = 48,8,6
11x + y = 41,19x + 12y = 153,3,8
15x - 16y = 22,8x + 14y = 192,10,8
4x + 13y = 98,8x + 20y = 160,5,6
14x - 6y = 176,17x + 17y = 238,13,1
8x - 3y = -12,15x + 5y = 105,3,12
14x + 16y = 242,10x + 7y = 133,7,9
8x + 14y = 62,3x + y = 19,6,1
17x - 18y = 237,20x + 5y = 305,15,1
10x + 13y = 197,17x + 11y = 235,8,9
4x + 11y = 39,13x + 20y = 111,7,1
12x - 18y = 6,9x + 11y = 127,8,5
8x + 16y = 176,15x + 16y = 204,4,9
11x + 12y = -4,13x + 11y = 8,4,-4
9x - 12y = 69,7x + 5y = 68,9,1
3x + 6y = 45,15x + 9y = 120,5,5
4x + 13y = -71,9x + 5y = 10,5,-7
3x - 10y = -126,6x + 9y = 183,8,15
2x + 18y = -106,6x + 6y = 18,10,-7
9x + 4y = 67,4x + 9y = 37,7,1
10x + 6y = 102,5x + 16y = 142,6,7
15x + 9y = 123,x + 18y = 130,4,7
2x - 8y = -28,9x + 17y = 245,14,7
x + 19y = 121,x + 15y = 97,7,6
19x + 6y = 202,10x + 11y = 122,10,2
18x + 11y = 58,18x + 7y = 50,2,2
5x + 14y = 185,7x + 8y = 143,9,10
3x + 5y = 7,10x + 3y = 78,9,-4
8x - 6y = 66,12x + 12y = 204,12,5
17x + y = 75,5x + 13y = 111,4,7
13x + 10y = 174,10x + 4y = 108,8,7
2x + 5y = 33,x + 13y = 69,4,5
16x + 15y = -56,17x + 3y = 44,4,-8
19x + 17y = 203,18x + 3y = 153,8,3
3x + 13y = -48,2x + 18y = -88,10,-6
5x + 4y = 11,3x + 3y = 3,7,-6
3x + 20y = 161,2x + 18y = 140,7,7
2x + 18y = 190,16x + 15y = 230,5,10
20x + 6y = 262,17x + 14y = 196,14,-3
18x + 4y = 168,12x + 9y = 150,8,6
2x + 19y = -20,17x + 9y = 135,9,-2
7x + 12y = 116,2x + 13y = 81,8,5
10x - 9y = 4,14x + 10y = 322,13,14
6x + 7y = 71,7x + 20y = 71,13,-1
12x + 2y = 122,12x + 7y = 127,10,1
14x + 5y = 158,9x + 15y = 78,12,-2
6x + y = 31,18x + 11y = 149,4,7
3x + 3y = 36,13x + 16y = 177,5,7
20x + 13y = 50,12x + 10y = 8,9,-10
9x + 20y = -70,14x + 13y = 36,10,-8
6x + 16y = 140,16x + 9y = 104,2,8
14x - 11y = 144,8x + 3y = 138,15,6
2x + 5y = 21,2x + 19y = 35,8,1
7x + 13y = 161,x + 8y = 66,10,7
4x + 3y = 28,13x + 16y = 116,4,4
2x + 10y = 66,20x + y = 165,8,5
x + 15y = 143,6x + 2y = 66,8,9
2x + 19y = 42,7x + 12y = 38,2,2
7x - 17y = -146,11x + 5y = 56,1,9
6x + 15y = -33,16x + 2y = 26,2,-3
16x + 4y = 140,x + 19y = 140,7,7
4x + y = 29,11x + 17y = 94,7,1
8x - 18y = -12,19x + 20y = 348,12,6
9x + 16y = 88,10x + 18y = 98,8,1
10x + y = 49,x + 7y = 67,4,9
15x - 5y = 200,5x + 16y = 155,15,5
17x + 5y = 190,3x + 14y = 86,10,4
16x + 13y = 155,x + y = 11,4,7
8x + 9y = 96,12x + 4y = 68,3,8
5x - 15y = 5,4x + 20y = 36,4,1
4x - 18y = -150,14x + 12y = 300,12,11
9x + 5y = 62,18x + 20y = 104,8,-2
18x + 12y = 216,5x + 9y = 94,8,6
9x + 18y = 180,8x + 15y = 155,10,5
3x + 19y = 81,12x + y = 99,8,3
4x + y = 30,13x + 20y = 131,7,2
10x - 6y = 106,7x + 14y = 147,13,4
18x - 13y = 64,6x + 7y = 44,5,2
17x + 13y = 215,17x + 12y = 205,5,10
15x + 9y = 156,7x + 7y = 84,8,4
9x + 2y = 16,16x + 16y = 16,2,-1
11x + 16y = 5,16x + 4y = 200,15,-10
15x + 8y = 166,13x + 14y = 158,10,2
15x + 12y = 159,19x + 14y = 199,9,2
9x + 20y = -117,14x + 19y = -73,7,-9
16x - 17y = 72,10x + 4y = 162,13,8
2x + 6y = 20,16x + 5y = 31,1,3
13x + 19y = 165,12x + 12y = 108,1,8
18x - 3y = 90,17x + 18y = 335,7,12
8x + 17y = 157,6x + 12y = 114,9,5
12x - 15y = -15,15x + 6y = 303,15,13
19x + 14y = 185,6x + 12y = 66,9,1
11x + 19y = 30,2x + 6y = 8,1,1
5x + 19y = 144,x + 15y = 96,6,6
8x + 10y = 130,10x + 5y = 125,10,5
6x + 20y = 196,11x + 11y = 154,6,8
12x - 8y = -28,14x + 20y = 114,1,5
4x + 20y = 144,16x + y = 23,1,7
5x - 3y = 22,2x + 5y = 46,8,6
20x + 18y = 152,6x + 12y = 6,13,-6
20x + 8y = 124,15x + 20y = 135,5,3
6x + 6y = 24,18x + y = 21,1,3
10x + 9y = 74,4x + 10y = 68,2,6
4x - 17y = -134,9x + 10y = 181,9,10
5x - 17y = 31,16x + 20y = 248,13,2
16x + 3y = 181,9x + 15y = -18,13,-9
17x + 11y = -10,17x + 16y = -30,2,-4
18x + 16y = 260,17x + 10y = 220,10,5
2x + 15y = 31,3x + 3y = 27,8,1
11x - 3y = 91,11x + 12y = 241,11,10
20x + 18y = 142,12x + 6y = 90,8,-1
11x + 10y = 67,19x + 16y = 117,7,-1
4x - 2y = 32,18x + 17y = 300,11,6
7x - 17y = 26,5x + 5y = 70,11,3
x + 6y = 39,19x + 19y = 171,3,6
18x - 16y = -100,6x + 8y = 140,6,13
11x + 11y = 66,14x + 3y = 51,3,3
5x + 18y = 38,2x + 6y = 14,4,1
5x - 16y = -88,19x + 16y = 280,8,8
16x + 6y = 80,6x + 4y = 16,8,-8
4x - 8y = 32,10x + 12y = 112,10,1
7x + 18y = 143,17x + 19y = 199,5,6
4x + 13y = -52,11x + 14y = 31,13,-8
2x + 4y = 48,8x + 17y = 199,10,7
18x + 17y = 278,16x + 15y = 246,6,10
8x + y = 83,20x + 4y = 212,10,3
8x + 6y = 80,6x + 18y = 114,7,4
10x + 9y = -32,18x + 12y = -24,4,-8
15x + 17y = -95,4x + 20y = -180,5,-10
16x + 8y = 136,9x + 3y = 66,5,7
2x + 10y = -18,2x + 17y = -32,1,-2
16x + 4y = 52,15x + 5y = 50,3,1
18x - 13y = 105,5x + 11y = 73,8,3
5x + y = 43,12x + 15y = 141,8,3
9x + 19y = 179,8x + 6y = 72,3,8
17x + 11y = 178,12x + 20y = 248,4,10
7x + 9y = -5,12x + 6y = 48,7,-6
15x + 6y = 186,4x + 9y = 20,14,-4
19x + 13y = 77,4x + 2y = 14,2,3
x + 9y = 100,x + 13y = 140,10,10
13x + 5y = 48,10x + 11y = 87,1,7
14x + 20y = 138,17x + 12y = 143,7,2
19x + 7y = 205,8x + 20y = -16,13,-6
3x - 16y = -191,6x + 3y = 108,11,14
17x - 12y = -64,13x + 9y = 151,4,11
4x + 6y = 28,13x + 9y = 70,4,2
13x - 6y = 57,12x + 7y = 178,9,10
6x + 12y = -6,7x + 3y = 70,13,-7
17x + 10y = 199,7x + 9y = 121,7,8
19x + y = 60,14x + 13y = 81,3,3
4x + 18y = 186,3x + 18y = 180,6,9
17x + 11y = 178,11x + 6y = 104,4,10
5x + 20y = -140,16x + 6y = 132,12,-10
4x + 14y = 70,19x + 12y = 169,7,3
7x + 13y = 61,13x + 16y = 97,5,2
14x + 20y = 284,7x + 11y = 152,6,10
15x + 19y = 283,4x + 15y = 145,10,7
4x + 14y = 52,x + 9y = 24,6,2
20x - 13y = 22,7x + 20y = 155,5,6
3x + 11y = -18,8x + 4y = 28,5,-3
20x - 18y = 2,10x + 15y = 25,1,1
9x + 13y = 207,14x + 20y = 320,10,9
5x + 11y = 54,8x + 12y = 64,2,4
10x + 15y = 115,4x + 6y = 46,13,-1
8x + 9y = 52,9x + 12y = 66,2,4
2x - 5y = -58,12x + 14y = 268,6,14
14x + 3y = 4,11x + 2y = 6,2,-8
4x + 20y = 60,5x + 3y = 53,10,1
20x - 2y = 110,4x + 12y = 84,6,5
20x + 12y = 140,18x + 6y = 78,1,10
9x + 6y = 51,7x + 7y = 56,1,7
14x + 6y = 90,12x + 19y = 188,3,8
11x - 15y = -17,5x + 13y = 131,8,7
20x + 3y = 203,18x + 19y = 199,10,1
19x + 14y = 61,3x + 18y = 57,1,3
3x + 2y = 22,10x + 8y = 60,14,-10
8x + 12y = 104,4x + 9y = 70,4,6
x + 6y = 17,2x + 20y = 50,5,2
20x + 12y = 256,13x + 13y = 208,8,8
6x + 14y = 26,11x + 18y = 40,2,1
17x + 10y = 180,13x + 14y = 144,10,1
11x + 2y = 53,16x + 15y = 198,3,10
17x + 19y = -46,5x + 16y = -76,4,-6
3x - 15y = -180,3x + 12y = 171,5,13
9x + 19y = 111,16x + 4y = 108,6,3
12x + 16y = -124,18x + 3y = 24,3,-10
4x - 15y = -121,6x + 7y = 143,11,11
20x + y = 148,18x + 13y = 230,7,8
11x + 12y = 69,5x + 3y = 51,15,-8
6x + 3y = 54,8x + 18y = 212,4,10
7x + 11y = -4,3x + 14y = -76,12,-8
12x + 2y = 116,4x + 5y = 56,9,4
15x - 18y = 45,6x + 5y = 79,9,5
4x + 7y = -26,12x + 5y = 82,11,-10
5x + 15y = -145,15x + 13y = -115,1,-10
12x + 2y = 124,15x + 14y = 247,9,8
3x + 13y = 132,12x + 13y = 177,5,9
16x - 9y = -85,17x + 16y = 242,2,13
16x + 6y = 28,7x + 18y = -80,4,-6
19x - 18y = -16,8x + 11y = 49,2,3
9x + 10y = 20,2x + 3y = -1,10,-7
19x + 9y = 65,11x + 12y = 58,2,3
9x + 11y = 128,19x + 14y = 178,2,10
17x + 6y = 183,x + 19y = 104,9,5
14x + 18y = 138,17x + 16y = 150,6,3
13x - 12y = 27,16x + 13y = 422,15,14
8x + 6y = 110,6x + 20y = 160,10,5
13x + 17y = 231,16x + 18y = 258,6,9
16x + 4y = 180,16x + 10y = 234,9,9
11x + 18y = 225,5x + 12y = 129,9,7
9x - 16y = -75,11x + 9y = 251,13,12
10x + 10y = 160,x + 15y = 100,10,6
10x - 5y = 15,8x + 18y = 298,8,13
16x + 5y = 88,14x + 12y = 138,3,8
15x + 9y = 147,3x + 10y = 13,11,-2
11x + 10y = 1,8x + 8y = 0,1,-1
7x - 9y = -40,12x + 4y = 184,11,13
14x + 18y = 190,19x + 11y = 137,2,9
20x + 19y = 204,19x + 20y = 186,14,-4
11x - 10y = 135,3x + 14y = 87,15,3
17x + 2y = 76,11x + 16y = 108,4,4
16x + 18y = 88,4x + 12y = 52,1,4
20x + 18y = 76,19x + 2y = 42,2,2
10x + 16y = 16,2x + 11y = -28,8,-4
9x + 9y = -63,6x + 3y = -12,3,-10
5x - 18y = -63,3x + 8y = 75,9,6
7x + 2y = 53,10x + 20y = 230,5,9
9x + 18y = 126,8x + 17y = 118,2,6
9x + 3y = 99,8x + 12y = 116,10,3
4x + 6y = 58,5x + 18y = 146,4,7
10x + 13y = 62,14x + 16y = 100,14,-6
9x - 11y = -34,19x + 3y = 138,6,8
13x + 6y = 96,20x + 14y = 100,12,-10
11x + 16y = 195,15x + 16y = 231,9,6
11x + y = 81,3x + 2y = 29,7,4
6x + 5y = 93,7x + 18y = 218,8,9
16x + 13y = 197,8x + 6y = 94,5,9
10x + 7y = 75,8x + 11y = 87,4,5
5x - 9y = -67,16x + 15y = 136,1,8
17x + 8y = 201,9x + 12y = 153,9,6
5x - 14y = -101,20x + 5y = 145,5,9
7x + 9y = 82,15x + 18y = 168,4,6
15x + 15y = 255,x + 2y = 24,10,7
18x + 18y = -18,19x + 6y = 111,9,-10
20x + 3y = 81,7x + 10y = 91,3,7
3x + 19y = 63,3x + 16y = 54,2,3
10x + 13y = 191,7x + 8y = 126,10,7
13x + 10y = 191,14x + 14y = 238,7,10
2x + 19y = 147,6x + 12y = 126,7,7
7x - 16y = -169,17x + 18y = 215,1,11
17x - 2y = 198,6x + 10y = 102,12,3
10x - 15y = -100,11x + 7y = 125,5,10
12x - 12y = 48,20x + 10y = 260,10,6
18x + 14y = 46,10x + 16y = -32,8,-7
11x + 6y = 36,19x + 3y = 99,6,-5
14x + 6y = 90,2x + 11y = 94,3,8
7x + 8y = 25,4x + 15y = -90,15,-10
14x + 2y = 76,3x + 20y = 212,4,10
5x + y = 20,15x + 13y = 110,3,5
5x - 17y = -110,2x + 17y = 194,12,10
13x + 3y = 61,3x + 15y = 57,4,3
18x + 9y = 207,17x + 6y = 183,9,5
5x + 15y = -5,11x + 18y = 4,2,-1
13x + 10y = 82,18x + 17y = 123,4,3
2x - 16y = -230,11x + 7y = 160,5,15
19x + 15y = 156,7x + 8y = 55,9,-1
16x + 20y = 56,20x + 11y = 42,1,2
6x + 10y = 102,18x + 6y = 162,7,6
19x + 19y = 247,5x + 17y = 125,8,5
9x + 17y = 198,9x + 16y = 189,5,9
19x - 16y = -39,12x + 12y = 108,3,6
13x - 16y = -42,14x + 8y = 308,14,14
20x + 20y = 40,16x + 4y = 20,1,1
6x + y = 28,17x + 16y = 132,4,4
10x - 11y = 38,4x + 10y = 44,6,2
15x + 15y = 120,19x + 19y = 152,2,6
5x + 10y = 35,12x + 19y = 79,5,1
3x + 13y = 29,7x + 8y = 23,1,2
4x + 6y = -20,15x + 2y = 130,10,-10
12x + 11y = 94,20x + 6y = 132,6,2
16x + 9y = 154,16x + 8y = 160,13,-6
9x - 16y = -79,4x + 9y = 126,9,10
6x + 7y = 68,19x + 20y = 211,9,2
20x - 12y = 288,7x + 5y = 110,15,1
5x - 9y = -107,12x + 8y = 128,2,13
19x + 16y = 105,6x + 14y = 60,3,3
11x + 9y = 135,15x + 2y = 143,9,4
14x + 19y = 180,19x + 11y = 126,2,8
15x + 2y = 132,14x + 8y = 160,8,6
12x + 17y = -74,16x + 19y = -62,8,-10
15x + 17y = 175,14x + 16y = 164,6,5
8x + 20y = 84,5x + 4y = 44,8,1
19x - 10y = 9,16x + 15y = 31,1,1
2x - 15y = -221,14x + 18y = 298,2,15
16x + 8y = 176,6x + 20y = 236,6,10
10x + 8y = 144,2x + 18y = 160,8,8
14x + 8y = 160,7x + 18y = 164,8,6
14x + 12y = -80,17x + 17y = -119,2,-9
12x + 16y = 116,19x + 19y = 152,3,5
11x + 3y = 113,11x + 20y = -57,13,-10
15x - 16y = -195,14x + 10y = 192,3,15
8x + 15y = 175,10x + 8y = 122,5,9
4x - 9y = -89,14x + 14y = 280,7,13
9x + 6y = 117,16x + 10y = 202,7,9
16x + 9y = 202,6x + 19y = 232,7,10
13x - 3y = 18,3x + 15y = 114,3,7
11x + 15y = 123,2x + 12y = 78,3,6
8x + 8y = 104,7x + 9y = 103,7,6
11x + 6y = 94,12x + 15y = 18,14,-10
7x - 9y = 13,15x + 17y = 173,7,4
4x + 15y = 140,6x + 8y = 94,5,8
5x + 20y = 155,8x + y = 62,7,6
11x + 18y = 135,18x + 13y = 188,9,2
18x - 4y = -6,20x + 18y = 330,3,15
12x + 8y = 52,10x + 19y = -80,11,-10
15x + 13y = 16,10x + 16y = -48,8,-8
15x - 6y = 120,17x + 11y = 314,12,10
14x + 6y = 104,12x + 16y = 176,4,8
11x + 20y = 111,6x + 20y = 106,1,5
15x + 11y = 122,5x + 7y = 64,3,7
2x + 16y = 44,10x + 8y = 76,6,2
5x - 4y = -5,10x + 2y = 40,3,5
15x + 15y = 240,16x + 13y = 226,6,10
3x + 7y = 57,5x + 7y = 67,5,6
16x + 4y = 100,15x + 3y = 93,6,1
19x + 12y = 183,16x + 11y = 155,9,1
16x - 4y = 80,12x + 14y = 264,8,12
6x + 15y = 165,20x + 3y = 127,5,9
15x - 5y = 205,14x + 17y = 213,14,1
9x + 17y = 26,15x + 19y = 34,1,1
3x + 5y = 8,5x + 18y = 23,1,1
12x - 14y = -46,14x + 9y = 225,9,11
3x + 4y = 48,9x + y = 78,8,6
12x + 9y = 144,9x + 9y = 126,6,8
12x + 8y = 148,20x + 20y = 280,9,5
5x + 11y = 41,8x + 19y = 67,6,1
10x - 12y = -170,9x + 6y = 99,1,15
9x + 20y = 243,11x + 2y = 95,7,9
20x - 18y = -74,13x + 13y = 273,8,13
17x + 3y = 75,16x + 15y = -39,6,-9
10x + 5y = 85,11x + 4y = 107,13,-9
10x + 10y = 50,6x + 9y = 15,10,-5
14x - 5y = 59,13x + 15y = 153,6,5
15x + 2y = 107,10x + 11y = 81,7,1
6x - 5y = 10,7x + 11y = 79,5,4
9x + 20y = 232,9x + 6y = 120,8,8
18x + 6y = 72,6x + 18y = 168,1,9
4x + 2y = 42,13x + 18y = 217,7,7
15x + 10y = 105,4x + 10y = 72,3,6
7x + 19y = 187,4x + 11y = 108,5,8
15x + 14y = 170,10x + 12y = 140,2,10
8x + 14y = 22,7x + 5y = 41,8,-3
7x - 6y = 80,3x + 2y = 48,14,3
x + 18y = 190,11x + 18y = 290,10,10
4x + 10y = 58,17x + 5y = 59,2,5
19x - 5y = 4,3x + 13y = 42,1,3
16x + 11y = 254,x + 13y = 139,9,10
4x + 17y = 135,5x + 9y = 83,4,7
17x - 18y = -127,13x + 17y = 149,1,8
20x + 8y = 84,19x + 10y = 75,5,-2
16x + 20y = -32,9x + 20y = -88,8,-8
7x - 13y = -67,11x + 18y = 279,9,10
14x + 4y = 4,9x + 2y = 6,2,-6
17x + 3y = 106,15x + 4y = 80,8,-10
8x + 15y = 61,4x + 15y = 53,2,3
13x - 16y = -153,11x + 18y = 249,3,12
4x + 15y = 96,6x + 7y = 82,9,4
13x + 9y = 132,18x + 16y = 204,6,6
14x + 16y = 76,11x + 9y = 74,10,-4
12x + 19y = 74,6x + 12y = 42,3,2
15x + y = 83,4x + 19y = 172,5,8
8x + 15y = 94,4x + 20y = 72,8,2
16x + 16y = 176,x + 8y = 25,9,2
8x - 15y = 4,2x + 2y = 24,8,4
5x + 9y = 23,17x + 8y = 33,1,2
20x + 11y = 121,15x + 19y = -6,11,-9
6x - 5y = 57,11x + 3y = 141,12,3
10x + 19y = 67,12x + 14y = 54,1,3
9x + 7y = 48,15x + 15y = 90,3,3
x + 11y = 16,8x + 17y = 57,5,1
19x + 9y = 253,20x + 3y = 221,10,7
8x + 18y = -2,12x + 12y = 12,2,-1
17x - 5y = 218,16x + 3y = 236,14,4
12x + 15y = 18,5x + 8y = -3,9,-6
17x + 8y = 250,17x + 7y = 240,10,10
6x - 5y = -6,17x + 13y = 146,4,6
12x + 8y = 164,18x + 17y = 296,7,10
17x - 3y = 93,19x + 9y = 141,6,3
12x - 2y = 158,10x + 18y = 230,14,5
4x + 13y = -5,14x + 4y = 24,2,-1
5x + 16y = 63,14x + 8y = 66,3,3
13x + 3y = 148,x + 10y = 70,10,6
12x + 14y = -116,9x + 11y = -92,2,-10
20x + 11y = 130,12x + 20y = 212,1,10
19x - 4y = -29,19x + 8y = 115,1,12
16x + 8y = 120,2x + 4y = 0,10,-5
12x + 11y = 117,8x + 18y = 110,7,3
19x + 17y = 91,10x + y = 32,3,2
4x + 2y = 10,5x + 19y = 62,1,3
5x + 20y = -75,4x + 4y = 0,5,-5
13x + 18y = 22,20x + 8y = 152,10,-6
10x + 20y = 50,11x + 5y = 89,9,-2
15x + 20y = 285,14x + 10y = 188,7,9
x + 16y = 52,14x + 9y = 83,4,3
4x + 2y = 38,13x + 9y = 146,5,9
20x + 18y = 230,x + y = 12,7,5
18x + 16y = 12,5x + 9y = -24,6,-6
13x + y = 19,17x + 9y = 71,1,6
11x + 4y = 60,7x + 10y = 68,4,4
8x + 10y = 104,2x + 9y = 78,3,8
17x + 12y = 183,11x + 14y = 81,15,-6
18x + 8y = 8,10x + 11y = -48,4,-8
14x + 20y = 130,15x + 19y = 132,5,3
9x + 15y = 147,x + 18y = 147,3,8
6x - 2y = 42,14x + 13y = 257,10,9
13x + 12y = 37,3x + 9y = 21,1,2
16x + 6y = -16,6x + 9y = -60,2,-8
6x - 15y = -15,19x + 7y = 334,15,7
9x + 17y = 22,9x + 20y = 10,10,-4
6x + 16y = -48,10x + 2y = 68,8,-6
6x + 20y = 38,6x + 6y = 24,3,1
20x - 7y = 9,8x + 11y = 183,5,13
15x - 15y = 30,2x + 14y = 20,3,1
8x + 4y = 88,3x + 16y = 149,7,8
10x - 11y = 87,3x + 19y = 93,12,3
11x + 11y = 154,6x + 15y = 120,10,4
2x - 8y = -94,5x + 3y = 110,13,15
17x + 9y = 138,11x + 9y = 102,6,4
10x + 17y = 141,2x + 12y = 54,9,3
7x + 17y = -74,17x + 15y = -22,4,-6
20x - 11y = 96,3x + 10y = 61,7,4
3x + 19y = -46,6x + 8y = 28,10,-4
14x + 17y = 138,14x + 13y = 122,5,4
6x + 14y = 118,3x + 6y = 54,8,5
20x + 18y = 320,x + 5y = 57,7,10
9x + 9y = 63,8x + 3y = 41,4,3
15x - 14y = 94,8x + 14y = 136,10,4
5x + 9y = 77,16x + 20y = 176,1,8
18x + 6y = 78,x + 3y = 7,4,1
9x - 16y = -30,5x + 6y = 28,2,3
11x + 18y = 56,14x + 5y = 125,10,-3
4x + 8y = 20,16x + 6y = 54,3,1
8x + 4y = 76,x + 20y = 185,5,9
5x + 10y = 60,8x + 8y = 72,6,3
5x - 12y = -175,17x + 8y = 137,1,15
16x - 4y = 208,14x + 14y = 252,14,4
3x - 15y = -195,16x + 8y = 280,10,15
19x + 14y = 278,9x + 3y = 99,8,9
3x + 6y = 39,16x + 9y = 70,1,6
x + 2y = 24,16x + 8y = 168,6,9
8x + 5y = 42,13x + 11y = 74,4,2
10x - 5y = 25,17x + 10y = 246,8,11
5x + 16y = 51,13x + 16y = 107,7,1
18x - 7y = -13,19x + 4y = 66,2,7
18x + 11y = 40,13x + 17y = 47,1,2
16x - 14y = -6,6x + 19y = 313,11,13
6x + 20y = 108,5x + 5y = 55,8,3
17x + 15y = 139,3x + 19y = 139,2,7
14x - 5y = 78,20x + 11y = 184,7,4
6x + 14y = 48,4x + 19y = 61,1,3
18x - 18y = 36,2x + 4y = 52,10,8
13x - 4y = 27,13x + 20y = 99,3,3
8x + 13y = 138,19x + 17y = 189,1,10
11x + 20y = -1,13x + 12y = 57,9,-5
4x + 13y = 111,7x + 19y = 168,5,7
19x + 18y = 170,2x + 11y = 27,8,1
3x + 5y = 50,11x + 7y = 138,10,4
x + y = 13,20x + 13y = 204,5,8
18x + 4y = 108,11x + 15y = 179,4,9
11x + 4y = 41,13x + 11y = 61,3,2
12x + 13y = 99,5x + y = 28,5,3
8x + 20y = 176,18x + 5y = 76,2,8
6x + 5y = 53,8x + 14y = 122,3,7
5x + 19y = 153,17x + 10y = 138,4,7
16x + 15y = 203,14x + 6y = 142,8,5
6x + 15y = 84,14x + 18y = 162,9,2
14x - 3y = 86,14x + 20y = 178,7,4
3x + 3y = 27,5x + 15y = -15,15,-6
20x + 15y = 230,x + 5y = 54,4,10
14x + 8y = 86,x + 16y = 37,5,2
x + 18y = 26,18x + 8y = 152,8,1
4x + 10y = 118,x + 9y = 88,7,9
20x + 17y = 265,11x + 8y = 139,9,5
20x - 10y = 150,11x + 11y = 99,8,1
2x + 13y = -11,17x + 14y = 196,14,-3
11x + 8y = 75,2x + 18y = 146,1,8
19x - 7y = 186,17x + 13y = 282,12,6
19x + 4y = 65,4x + 5y = 22,3,2
3x + 4y = 46,6x + 2y = 68,10,4
15x + 4y = 186,10x + 5y = 110,14,-6
2x + 15y = 32,7x + 14y = 35,1,2
12x + 10y = -24,3x + 8y = -39,3,-6
17x + 18y = 30,10x + 8y = 28,6,-4
9x + 4y = 39,7x + y = 24,3,3
13x + 4y = 153,20x + 3y = 248,13,-4
18x + 19y = 220,16x + 9y = 164,8,4
18x + 11y = 81,11x + 5y = 65,10,-9
5x + 12y = 121,3x + 8y = 79,5,8
10x + 18y = 136,13x + 17y = 132,1,7
19x + 15y = 268,11x + 3y = 104,7,9
20x + 18y = 340,8x + 13y = 194,8,10
4x + 10y = 64,2x + 14y = 68,6,4
8x + 19y = 235,3x + 12y = 132,8,9
13x - 2y = 90,9x + 4y = 100,8,7
x + 20y = 41,11x + 3y = 17,1,2
9x + 9y = 135,8x + 9y = 127,8,7
20x + 6y = 64,6x + 13y = -48,5,-6
10x + 19y = 145,20x + y = 105,5,5
19x + 15y = 119,16x + 5y = 146,11,-6
3x - 2y = 1,3x + 12y = 57,3,4
9x + 13y = 155,18x + 18y = 270,10,5
19x + 5y = 125,20x + 14y = 184,5,6
14x - 7y = 21,15x + 19y = 208,5,7
12x + 16y = 72,19x + 12y = 154,10,-3
6x - 12y = -132,15x + 12y = 258,6,14
4x + 10y = 38,15x + 8y = 113,7,1
8x + 10y = 162,13x + 16y = 261,9,9
4x + 19y = 54,9x + 6y = 48,4,2
15x - 18y = -102,14x + 15y = 191,4,9
x + 19y = 176,5x + 12y = 133,5,9
12x + 17y = 210,19x + 13y = 249,9,6
3x - 17y = -166,15x + 10y = 215,7,11
8x + 11y = 74,12x + 10y = 72,1,6
11x + 8y = 93,3x + 3y = 27,7,2
11x + 4y = 112,2x + 15y = 106,8,6
8x + 10y = 134,6x + 17y = 167,8,7
